id,concepts
W2321659762,"['initial stage', 'stable mode iii crack growth', 'stable mode iii', 'crack growth', 'slip-line', 'screw dislocation', 'slip-plane', 'crack growth step', 'boundary value problem', 'effective friction stress', 'crack shearing displacement', 'crack growth distance', 'applied load increment', 'j.r. rice', 'e.p. sorensen']"
W2321694728,"['strain rate', 'elastic-plastic fracture toughness', 'fracture toughness', 'transitional temperature region', 'static and dynamic fracture toughness tests', 'fatigue pre-cracked instrumented charpy specimens', 'charpy specimens', 'fracture toughness transition curves', 'scatter', 'fractographic examination', 'stable crack growth', 'a0', 'distance from stable crack front to trigger point', 'trigger point', 'fatigue crack front', 'fatigue', 'lower bound fracture toughness', 'steel', 'weibull slope', 'weibull', 'statistical approach', 'fracture probability']"
W2321695511,"['structural material', 'concrete member', 'shear strength evaluation', 'concrete bridge', 'concrete', 'material testing', 'existing concrete bridges', 'finite Fourier transform procedure', 'finite Fourier transform', 'limited number of sampling core testing', 'core testing', 'degradation curve', 'concrete', 'nonlinear programming procedure', 'nonlinear programming', 'elasto-plastic finite element method', 'finite element method', 'strength distribution sensitivity analysis', 'shear strength']"
W2321719560,"['fracture condition', 'rock-like material', 'compression test', 'rock', 'concrete', 'crack initiation', 'crack propagation', 'crack pattern', 'failure process', 'stochastic distribution', 'flaw', 'mcclintock-walsh-griffith theory', 'griffith theory', 'crack initiation criteria', 'concrete or cement mortar specimen', 'concrete specimen', 'cement mortar specimen', 'compressive load', 'failure process explanation']"
W2321739497,"['coating design system', 'gas turbine', 'protective coating', 'high-temperature protective coating', 'computer-aided interactive system', 'reaction diffusion analysis', 'bonded material', 'overlay coating', 'low-pressure-plasma spray', 'low-pressure-plasma spray process', 'spray process', 'mcraly alloy', 'low-pressure-plasma', 'plasma', 'corrosion', 'oxidation', 'gas turbine component', 'mcrialy coating', 'substrate', 'equiaxis', 'directional solidified', 'single-crystal', 'low-pressure-plasma sprayed coating', 'ccrystal', 'diffusion layer', 'aluminum compound layer', 'cocal layer', 'diffusion thickness', 'parabolic time dependence', 'simulation analysis', 'diffusion distance during heating process']"
W2321787941,"['bond strength', 'reinforcing bar', 'lightweight aggregate concrete', 'lightweight concrete', 'aggregate concrete', 'concrete', 'surface characteristic', 'reinforcing bar', 'test method', 'pullout test', 'tension test', 'long prism test', 'compressive strength', 'anchorage bond', 'long prism test', 'crack control']"
W2321844121,"['temperature distribution', 'laminar flow', 'circular tube', 'non-newtonian fluid', 'non-newtonian', 'steady state', 'transfer of heat', 'non-newtonian fluid flow', 'circular tube with constant wall temperature', 'wall temperature', 'temperature distribution within fluid', 'thermal conductivity', 'viscous friction', 'thermistor probe', 'newtonian fluid', 'aqueous solution', 'sodium carboxymethylcellulose', 'power law']"
W2321847054,"['fatigue deformation', 'coiled spring', 'automatic or semi-automatic product machine', 'machine', 'steel wire', 'heated coiled spring', 'setting coiled spring', 'secular change', 'elastic-after effect', 'fatigue deformation limit', 'untreated coiled spring', 'heating effect', 'age-hardening', 'fatigue deformation limit diagram', 'straight line of 45 degrees', 'staight line']"
W2321850596,"['non-linear fracture mechanic analysis', 'fracture mechanic analysis', 'thermal fatigue crack growth', 'fatigue crack growth', 'hydrogen ion beam irradiation', 'hydrogen ion', 'ion beam irradiation', 'vacuum chamber', 'surface-cracked plate specimen', 'surface-cracked plate', 'h+ beam pulse', 'normal distribution', 'peak value', 'time duration', 'temperature on specimen surface', 'fatigue crack growth behavior', 'non-linear fracture mechanic', 'fracture mechanic', 'thermal conduction finite element analysis', 'thermal elasto-plastic finite element analysis', 'finite element analysis', 'material property', 'j-integral', 'crack extension amount', 'fatigue crack growth phenomena', 'micro damage effect', 'irradiation']"
W2321855065,"['mechanism of plastic deformation', 'plastic deformation', 'rolled contact', 'high carbon steel', 'specer rod', 'wheel', 'arm', 'rotation', 'low load', 'low speed', 'sectional profile', 'wear', 'surface residual stress', 'rolling contact', 'plastic deformation', 'scaly pattern', 'cracks', 'flaking', 'powder film', 'adherent film', 'wear powder', 'one cycle of contact', 'rail', 'wheel pieces', 'adherent film']"
