,id,generated
0,W165890859,"['kntn surface', 'surface', 'potassium natrium tantalite niobate', 'niobate', 'a-site substitution', 'potassium tantalite niobate', 'tantalite', 'niobate', 'geometry optimization', 'band structure', 'density of states', 'density', 'na cation', 'k cation', 'geometrical structure optimization', 'dielectric function', 'refractive index', 'energy-loss function', 'first-principles calculation', 'calculation']"
1,W2885439474,"# ['structural stability', 'electronic properties', '0-0-0-1 inversion domain boundary', 'inversion domain boundary', 'iii-nitrides', 'monte carlo simulation', 'stillinger-weber empirical potential', 'empirical potential', 'inversion domain', 'structural searching process', 'first-principle calculation', 'density functional theory', 'electronic structure', 'hole gas', 'electron gas', 'polarization discontinuity', 'projected density of states', 'density of states', 'valance band edge', 'fermi level', 'hybridization state', 'p dopant', 'conduction band', 'electron excess']"
2,W2313503269,"# ['rubber composite', 'elliptic heterogeneous rubber', 'heterogeneous rubber', 'rubber', 'tensile deformation', 'mooney-rivlin strain energy function', 'mooney-rivlin', 'strain energy function', 'finite element method', 'numerical simulation', 'deformation mode', 'strain energy', 'stress', 'elliptic region', 'strain energy distribution']"
3,W2392876774,"['crystallization studies', 'polypropylene', 'carbon nanotubes', 'cnts', 'filler', 'melting process', 'nucleation', 'pp/cnts composite', 'pp', 'cnts', 'tem', 'sem', 'dsc', 'tga', 'crystallization', 'thermal stability', 'fire retardant']"
4,W2365080320,"['matrix micro-property determination', 'matrix micro-property', 'tungsten alloy', 'inverse method', 'microhardness', 'micro elastic modulus', 'elastic modulus', 'micro elastic-plastic property', 'elastic-plastic property', 'nano-indentation experiment', 'nano-indentation', 'finite element computation', 'computation', 'macro experiment', 'validity']"
5,W2070410562,"['wet chemical separation', 'low-temperature gaas layers', 'low-temperature layers', 'gaas layers', 'gaas substrate', 'substrate', 'molecular beam epitaxy', 'mbe', 'etch stop interlayer', 'etch stop', 'citric acid based etchant', 'citric acid', 'etching rate', 'resistivity', 'hall mobility']"
6,W2058639253,"# ['dielectric function', 'wurtzite inn', 'inn', 'in-rich inaln alloy', 'inaln alloy', 'ellipsometric study', 'ellipsometry', '1120 a-plane inn film', 'low carrier density 0001 c-plane film', 'c-plane film', 'carrier density', 'band gap renormalization', 'burstein-moss shift', 'in-aln band gap', 'bowing parameter', 'optical anisotropy', 'valence band', 'conduction band', 'crystal field energy', 'spin-orbit energy', 'third derivative', 'dielectric function']"
7,W2996556742,"# ['experimental study', 'manufactured sand-soil', 'soil bearing capacity', 'mechanical response', 'rotary penetration', 'rock strength parameter', 'soil strength parameter', 'moisture content', 'confining pressure', 'drilling torque', 'bearing capacity', 'failure detection verification', 'taihang mountains expressway', 'beijing', 'rigid-soft interface grid body', 'sand-soil particles', 'microcosmic aspect']"
8,W2119681445,"# ['hydrogen storage', 'nanograined free-standing magnesiumnickel film', 'free-standing magnesiumnickel film', 'nanoscale grain structure', 'pulsed laser deposition', 'film delaminating process', 'hydrogen sorption', 'desorption property', 'oxidation reduction', 'sandwiched free-standing film structure', 'nanometer-thick palladium layer', 'palladium layer', 'hydrogen uptake', 'hydrogen release', 'vant-hoff plot', 'thermodynamic stability', 'magnesiumnickel target material', 'free-standing film']"
9,W2965561074,"['dense metal diboride ceramic', 'pure metal diboride ceramic', 'metal diboride', 'high-entropy metal diboride', 'boro/carbothermal reduction', 'boro/carbothermal', 'oxide mixture', 'b4c source', 'particle size', 'x-ray diffraction pattern', 'elemental mapping', 'niobium and zirconium atoms', 'niobium zirconium solid solution', 'spark plasma sintering', 'sintering', 'rapid grain growth', 'grain growth', 'vickers hardness', 'youngs modulus', 'fracture toughness']"
